bill,rep,vote,topic,progressive,representative,pct_win,party,rep_2018,prog_vote
2154,SIMMONS,yay,environment,-1,Justin Simmons,0.6282767132949341,rep,1,0
2154,SONNEY,yay,environment,-1,Curtis Sonney,1,rep,1,0
2154,STAATS,yay,environment,-1,Craig Staats,0.5829980977328719,rep,1,0
2154,STEPHENS,yay,environment,-1,Todd Stephens,0.6081190070794871,rep,1,0
2154,TALLMAN,yay,environment,-1,Will Tallman,0.7436389654811351,rep,0,0
2154,TAYLOR,yay,environment,-1,John Taylor,0.551465709044069,rep,0,0
2154,TOBASH,yay,environment,-1,Mike Tobash,1,rep,1,0
2154,TOEPEL,yay,environment,-1,Marcy Toepel,0.633493458062069,rep,1,0
2154,TOOHIL,yay,environment,-1,Tarah Toohil,0.70194248234107,rep,1,0
2154,TOPPER,yay,environment,-1,Jesse Topper,1,rep,1,0
2154,WALSH,yay,environment,-1,Justin Walsh,0.615379312721883,rep,1,0
2154,WARD,yay,environment,-1,Judith Ward,1,rep,0,0
2154,WARNER,yay,environment,-1,Ryan Warner,0.639139486467731,rep,1,0
2154,WATSON,yay,environment,-1,Katharine Watson,1,rep,0,0
2154,WENTLING,yay,environment,-1,Parke Wentling,0.712721114038389,rep,1,0
2154,WHEELAND,yay,environment,-1,Jeff Wheeland,1,rep,1,0
2154,WHITE,yay,environment,-1,Martina White,0.539176777412405,rep,1,0
2154,ZIMMERMAN,yay,environment,-1,David H. Zimmerman,0.742633669922198,rep,1,0
2154,BARBIN,yay,environment,-1,Bryan Barbin,0.5898047876888,dem,0,0
2154,BIZZARRO,yay,environment,-1,Ryan Bizzarro,0.599437119520328,dem,1,0
2154,BURNS,yay,environment,-1,Frank Burns,0.57554437682485,dem,1,0
2154,"COSTA, D.",yay,environment,-1,Dominic Costa,1,dem,0,0
2154,"COSTA, P.",yay,environment,-1,Paul Costa,1,dem,0,0
2154,DELUCA,yay,environment,-1,Anthony DeLuca,1,dem,1,0
2154,FLYNN,yay,environment,-1,Martin Flynn,0.692891983467997,dem,1,0
2154,HARKINS,yay,environment,-1,Patrick Harkins,0.729187216413494,dem,1,0
2154,LONGIETTI,yay,environment,-1,Mark Longietti,1,dem,1,0
2154,PETRARCA,yay,environment,-1,Joseph Petrarca,0.56391849757088,dem,1,0
2154,SAINATO,yay,environment,-1,Chris Sainato,1,dem,1,0
2154,SNYDER,yay,environment,-1,Pam Snyder,0.533257021380974,dem,1,0
2154,TURZAI,yay,environment,-1,Mike Turzai,0.6524607751106339,rep,1,0
2154,BARRAR,nay,environment,-1,Stephen Barrar,1,rep,1,1
2154,BOBACK,nay,environment,-1,Karen Boback,1,rep,1,1
2154,CHARLTON,nay,environment,-1,Alexander Charlton,0.560068463377527,rep,0,1
2154,CORBIN,nay,environment,-1,Becky Corbin,0.579497627536659,rep,0,1
2154,DIGIROLAMO,nay,environment,-1,Gene DiGirolamo,1,rep,1,1
2154,ENGLISH,nay,environment,-1,Hal English,1,rep,0,1
2154,FARRY,nay,environment,-1,Frank Farry,1,rep,1,1
2154,GILLEN,nay,environment,-1,Mark Gillen,1,rep,1,1
2154,HARPER,nay,environment,-1,Catherine Harper,0.5652942801878971,rep,0,1
2154,HENNESSEY,nay,environment,-1,Timothy Hennessey,1,rep,1,1
2154,KAMPF,nay,environment,-1,Warren Kampf,0.558134110787172,rep,0,1
2154,MEHAFFIE,nay,environment,-1,Thomas Mehaffie,1,rep,1,1
2154,MICCARELLI,nay,environment,-1,Nick Miccarelli,0.639160344605889,rep,0,1
2154,MILNE,nay,environment,-1,Duane Milne,0.567236020573755,rep,0,1
2154,MURT,nay,environment,-1,Thomas Murt,0.633251761653448,rep,1,1
2154,"QUINN, C.",nay,environment,-1,Christopher Quinn,0.561471803759499,rep,1,1
2154,"QUINN, M.",nay,environment,-1,Marguerite Quinn,0.637547750424448,rep,0,1
2154,ROE,nay,environment,-1,Eric Roe,0.530760895738021,rep,0,1
2154,BOYLE,nay,environment,-1,Kevin Boyle,0.624598101878753,dem,1,1
2154,BRIGGS,nay,environment,-1,Tim Briggs,0.668647357420125,dem,1,1
2154,"BROWN, V.",nay,environment,-1,Vanessa Lowery Brown,1,dem,1,1
2154,BULLOCK,nay,environment,-1,Donna Bullock,1,dem,1,1
2154,CALTAGIRONE,nay,environment,-1,Thomas Caltagirone,1,dem,1,1
2154,CARROLL,nay,environment,-1,Mike Carroll,1,dem,1,1
2154,CEPHAS,nay,environment,-1,Morgan Cephas,1,dem,1,1
2154,COMITTA,nay,environment,-1,Carolyn Comitta,0.500342381330631,dem,1,1
2154,CONKLIN,nay,environment,-1,H. Scott Conklin,1,dem,1,1
2154,CRUZ,nay,environment,-1,Angel Cruz,1,dem,1,1
2154,DALEY,nay,environment,-1,Mary Jo Daley,0.634784622510421,dem,1,1
2154,DAVIDSON,nay,environment,-1,Margo Davidson,0.790383054385219,dem,1,1
2154,"DAVIS, A.",nay,environment,-1,NA,NA,NA,NA,1
2154,"DAVIS, T.",nay,environment,-1,Tina Davis,0.655981958000592,dem,1,1
2154,DAWKINS,nay,environment,-1,Jason Dawkins,1,dem,1,1
2154,DEASY,nay,environment,-1,Daniel Deasy Jr.,1,dem,1,1
2154,DELISSIO,nay,environment,-1,Pamela Delissio,0.707179597745403,dem,0,1
2154,DERMODY,nay,environment,-1,Frank Dermody,1,dem,1,1
2154,DONATUCCI,nay,environment,-1,Maria Donatucci,1,dem,1,1
2154,DRISCOLL,nay,environment,-1,Michael Driscoll,1,dem,1,1
2154,EVANS,nay,environment,-1,Carol Hill-Evans,0.61036997509783,dem,1,1
2154,FITZGERALD,nay,environment,-1,Isabella Fitzgerald,1,dem,1,1
2154,FRANKEL,nay,environment,-1,Dan Frankel,1,dem,1,1
2154,FREEMAN,nay,environment,-1,Robert Freeman,1,dem,1,1
2154,GAINEY,nay,environment,-1,Edward Gainey,1,dem,1,1
2154,GALLOWAY,nay,environment,-1,John Galloway,1,dem,1,1
2154,GOODMAN,nay,environment,-1,Neal Goodman,1,dem,1,1
2154,HAGGERTY,nay,environment,-1,Kevin Haggerty,0.5308650354634,dem,0,1
2154,HANNA,nay,environment,-1,Michael Hanna Sr.,0.521552064419357,dem,0,1
2154,"HARRIS, J.",nay,environment,-1,Jordan Harris,1,dem,1,1
2154,KAVULICH,nay,environment,-1,Sid Michaels Kavulich,0.671466583189858,dem,1,1
2154,"KELLER, W.",nay,environment,-1,William Keller,1,dem,0,1
2154,KIM,nay,environment,-1,Patty Kim,1,dem,1,1
2154,KINSEY,nay,environment,-1,Stephen Kinsey,1,dem,1,1
2154,KIRKLAND,nay,environment,-1,Brian Kirkland,0.756046792389992,dem,1,1
2154,KORTZ,nay,environment,-1,William Kortz II,0.656492083577667,dem,1,1
2154,KRUEGER,nay,environment,-1,Leanne Krueger-Braneky,0.508328915427328,dem,1,1
2154,KULIK,nay,environment,-1,Anita Astorino Kulik,1,dem,1,1
2154,MADDEN,nay,environment,-1,Maureen Madden,0.519198737617252,dem,1,1
2154,MARKOSEK,nay,environment,-1,Joseph Markosek,0.624143418531389,dem,0,1
2154,MATZIE,nay,environment,-1,Robert Matzie,1,dem,1,1
2154,MCCARTER,nay,environment,-1,Steve McCarter,0.777474579192279,dem,1,1
2154,MCCLINTON,nay,environment,-1,Joanna McClinton,1,dem,1,1
2154,MCNEILL,nay,environment,-1,Daniel McNeill,0.56312924155418,dem,0,1
2154,"MILLER, D.",nay,environment,-1,Dan Miller,1,dem,1,1
2154,MULLERY,nay,environment,-1,Gerald Mullery,0.562390158172232,dem,1,1
2154,NEILSON,nay,environment,-1,Edward Neilson,1,dem,0,1
2154,PASHINSKI,nay,environment,-1,Eddie Day Pashinski,0.781013121438653,dem,1,1
2154,RABB,nay,environment,-1,Christopher Rabb,0.945565749235474,dem,1,1
2154,RAVENSTAHL,nay,environment,-1,Adam Ravenstahl,0.809033029652819,dem,1,1
2154,READSHAW,nay,environment,-1,Harry Readshaw III,1,dem,1,1
2154,ROEBUCK,nay,environment,-1,James Roebuck Jr.,1,dem,1,1
2154,ROZZI,nay,environment,-1,Mark Rozzi,1,dem,1,1
2154,SAMUELSON,nay,environment,-1,Steve Samuelson,1,dem,1,1
2154,SCHLOSSBERG,nay,environment,-1,Michael Schlossberg,0.671305001880406,dem,1,1
2154,SCHWEYER,nay,environment,-1,Peter Schweyer,1,dem,1,1
2154,SIMS,nay,environment,-1,Brian Sims,1,dem,1,1
2154,SOLOMON,nay,environment,-1,Jared Solomon,1,dem,1,1
2154,STURLA,nay,environment,-1,P. Michael Sturla,0.732510983440351,dem,1,1
2154,TAI,nay,environment,-1,NA,NA,NA,NA,1
2154,THOMAS,nay,environment,-1,W. Curtis Thomas,1,dem,0,1
2154,VAZQUEZ,nay,environment,-1,NA,NA,NA,NA,1
2154,VITALI,nay,environment,-1,Gregory Vitali,0.660290402287681,dem,1,1
2154,WARREN,nay,environment,-1,Perry Warren,0.500985105209236,dem,1,1
2154,WHEATLEY,nay,environment,-1,Jake Wheatley Jr.,1,dem,1,1
2154,YOUNGBLOOD,nay,environment,-1,Rosita Youngblood,1,dem,1,1
97,BAKER,yay,education,-1,Matthew Baker,1,rep,0,0
97,BENNINGHOFF,yay,education,-1,Kerry Benninghoff,0.685600631782152,rep,1,0
97,BERNSTINE,yay,education,-1,Aaron Bernstine,0.5847730383633609,rep,1,0
97,BLOOM,yay,education,-1,Stephen Bloom,0.642707841682961,rep,0,0
97,BOBACK,yay,education,-1,Karen Boback,1,rep,1,0
97,"BROWN, R.",yay,education,-1,Rosemary Brown,0.635161721885575,rep,1,0
97,CHARLTON,yay,education,-1,Alexander Charlton,0.560068463377527,rep,0,0
97,COOK,yay,education,-1,Bud Cook,0.540958451369216,rep,1,0
97,CORBIN,yay,education,-1,Becky Corbin,0.579497627536659,rep,0,0
97,CORR,yay,education,-1,Michael Corr,0.5431772607187191,rep,0,0
97,COX,yay,education,-1,Jim Cox,1,rep,1,0
97,CULVER,yay,education,-1,Lynda Schlegel-Culver,0.766513959043032,rep,0,0
97,CUTLER,yay,education,-1,Bryan Cutler,0.739344540669044,rep,1,0
97,DAY,yay,education,-1,Gary Day,1,rep,1,0
97,DELOZIER,yay,education,-1,Sheryl Delozier,0.650972429328342,rep,1,0
97,DIAMOND,yay,education,-1,Russell Diamond,0.699053050304502,rep,1,0
97,DOWLING,yay,education,-1,Matthew Dowling,0.530661035183488,rep,1,0
97,DUNBAR,yay,education,-1,George Dunbar,1,rep,1,0
97,DUSH,yay,education,-1,Cris Dush,1,rep,1,0
97,ELLIS,yay,education,-1,Brian Ellis,1,rep,1,0
97,EMRICK,yay,education,-1,Joe Emrick,0.655790817161371,rep,1,0
97,ENGLISH,yay,education,-1,Hal English,1,rep,0,0
97,EVANKOVICH,yay,education,-1,Eli Evankovich,1,rep,0,0
97,EVERETT,yay,education,-1,Garth Everett,1,rep,1,0
97,FARRY,yay,education,-1,Frank Farry,1,rep,1,0
97,FEE,yay,education,-1,Mindy Fee,1,rep,1,0
97,FRITZ,yay,education,-1,Jonathan Fritz,1,rep,1,0
97,GABLER,yay,education,-1,Matt Gabler,0.727307227876488,rep,1,0
97,GILLESPIE,yay,education,-1,Keith Gillespie,1,rep,1,0
97,GREINER,yay,education,-1,Keith Greiner,0.669622680271177,rep,1,0
97,GROVE,yay,education,-1,Seth Grove,1,rep,1,0
97,HAHN,yay,education,-1,Marcia Hahn,1,rep,1,0
97,HARPER,yay,education,-1,Catherine Harper,0.5652942801878971,rep,0,0
97,"HARRIS, A.",yay,education,-1,C. Adam Harris,1,rep,0,0
97,HEFFLEY,yay,education,-1,Doyle Heffley,0.613593155893536,rep,1,0
97,HELM,yay,education,-1,Susan Helm,0.577114427860697,rep,1,0
97,HICKERNELL,yay,education,-1,David Hickernell,1,rep,1,0
97,HILL,yay,education,-1,Kristin Phillips-Hill,1,rep,0,0
97,IRVIN,yay,education,-1,Richard Irvin,0.637353039973127,rep,1,0
97,JOZWIAK,yay,education,-1,Barry Jozwiak,1,rep,1,0
97,KAMPF,yay,education,-1,Warren Kampf,0.558134110787172,rep,0,0
97,KAUFER,yay,education,-1,Aaron Kaufer,0.678489125738154,rep,1,0
97,KAUFFMAN,yay,education,-1,Rob Kauffman,0.72500757601266,rep,1,0
97,KEEFER,yay,education,-1,Dawn Keefer,1,rep,1,0
97,"KELLER, F.",yay,education,-1,Fred Keller,1,rep,1,0
97,"KELLER, M.K.",yay,education,-1,Mark K. Keller,1,rep,0,0
97,KLUNK,yay,education,-1,Kate Anne Klunk,1,rep,0,0
97,KNOWLES,yay,education,-1,Jerry Knowles,1,rep,1,0
97,LAWRENCE,yay,education,-1,John Lawrence,0.624864498644986,rep,1,0
97,MACKENZIE,yay,education,-1,Ryan Mackenzie,1,rep,1,0
97,MAHER,yay,education,-1,John Maher,0.650303967576792,rep,0,0
97,MALONEY,yay,education,-1,David Maloney,1,rep,1,0
97,MARSHALL,yay,education,-1,Jim Marshall,1,rep,1,0
97,MARSICO,yay,education,-1,Ronald Marsico,1,rep,0,0
