bill,rep,vote
97,MOUL,yay
97,MUSTIO,yay
97,NELSON,yay
97,NESBIT,yay
97,OBERLANDER,yay
97,ORTITAY,yay
97,PEIFER,yay
97,PETRI,yay
97,PICKETT,yay
97,PYLE,yay
97,QUIGLEY,yay
97,"QUINN, C.",yay
97,"QUINN, M.",yay
97,RADER,yay
97,RAPP,yay
97,REED,yay
97,REESE,yay
97,ROAE,yay
97,ROE,yay
97,ROTHMAN,yay
97,RYAN,yay
97,SACCONE,yay
97,SANKEY,yay
97,SAYLOR,yay
97,SCHEMEL,yay
97,SONNEY,yay
97,STAATS,yay
97,STEPHENS,yay
97,TALLMAN,yay
97,TOBASH,yay
97,TOEPEL,yay
97,TOOHIL,yay
97,TOPPER,yay
97,WALSH,yay
97,WARD,yay
97,WARNER,yay
97,WENTLING,yay
97,WHEELAND,yay
97,WHITE,yay
97,ZIMMERMAN,yay
97,DAVIDSON,yay
97,"HARRIS, J.",yay
97,MCCLINTON,yay
97,WHEATLEY,yay
97,TURZAI,yay
97,BARRAR,nay
97,CAUSER,nay
97,DIGIROLAMO,nay
97,GILLEN,nay
97,GODSHALL,nay
97,LEWIS,nay
97,MCGINNIS,nay
97,MURT,nay
97,O'NEILL,nay
97,SANTORA,nay
97,BARBIN,nay
97,BIZZARRO,nay
97,BOYLE,nay
97,BRADFORD,nay
97,BRIGGS,nay
97,"BROWN, V.",nay
97,BULLOCK,nay
97,BURNS,nay
97,CALTAGIRONE,nay
97,CARROLL,nay
97,CEPHAS,nay
97,COMITTA,nay
97,CONKLIN,nay
97,"COSTA, D.",nay
97,"COSTA, P.",nay
97,CRUZ,nay
97,DALEY,nay
97,DAVIS,nay
97,DAWKINS,nay
97,DEAN,nay
97,DEASY,nay
97,DELISSIO,nay
97,DELUCA,nay
97,DERMODY,nay
97,DONATUCCI,nay
97,DRISCOLL,nay
97,EVANS,nay
97,FITZGERALD,nay
97,FLYNN,nay
97,FRANKEL,nay
97,FREEMAN,nay
97,GAINEY,nay
97,GALLOWAY,nay
97,GOODMAN,nay
97,HAGGERTY,nay
97,HANNA,nay
97,HARKINS,nay
97,KAVULICH,nay
97,"KELLER, W.",nay
97,KIM,nay
97,KINSEY,nay
97,KIRKLAND,nay
97,KORTZ,nay
97,KRUEGER,nay
97,KULIK,nay
97,LONGIETTI,nay
97,MADDEN,nay
97,MARKOSEK,nay
97,MATZIE,nay
97,MCCARTER,nay
97,"MILLER, D.",nay
97,MULLERY,nay
97,NEILSON,nay
97,NEUMAN,nay
97,O'BRIEN,nay
97,PASHINSKI,nay
97,PETRARCA,nay
97,RAVENSTAHL,nay
97,READSHAW,nay
97,ROEBUCK,nay
97,ROZZI,nay
97,SAINATO,nay
97,SAMUELSON,nay
97,SCHLOSSBERG,nay
97,SCHWEYER,nay
97,SIMS,nay
97,SNYDER,nay
97,SOLOMON,nay
97,STURLA,nay
97,THOMAS,nay
97,VAZQUEZ,nay
97,VITALI,nay
97,WARREN,nay
97,YOUNGBLOOD,nay
2060,BARRAR,yay
2060,BENNINGHOFF,yay
2060,BOBACK,yay
2060,"BROWN, R.",yay
2060,CHARLTON,yay
2060,CORBIN,yay
2060,CORR,yay
2060,COX,yay
2060,CULVER,yay
2060,CUTLER,yay
2060,DAY,yay
2060,DELOZIER,yay
2060,DIGIROLAMO,yay
2060,EMRICK,yay
2060,ENGLISH,yay
2060,FARRY,yay
2060,FEE,yay
2060,GILLEN,yay
2060,GILLESPIE,yay
2060,GREINER,yay
2060,HAHN,yay
2060,HARPER,yay
2060,"HARRIS, A.",yay
2060,HELM,yay
2060,HENNESSEY,yay
2060,HICKERNELL,yay
2060,JOZWIAK,yay
2060,KAMPF,yay
2060,KAUFER,yay
2060,"KELLER, F.",yay
2060,KLUNK,yay
2060,LAWRENCE,yay
2060,LEWIS,yay
2060,MACKENZIE,yay
2060,MAHER,yay
2060,MASSER,yay
2060,MEHAFFIE,yay
2060,MENTZER,yay
2060,MICCARELLI,yay
2060,MILLARD,yay
2060,"MILLER, B.",yay
2060,MILNE,yay
2060,MOUL,yay
2060,MURT,yay
2060,O'NEILL,yay
2060,QUIGLEY,yay
2060,"QUINN, C.",yay
2060,"QUINN, M.",yay
2060,RADER,yay
2060,REED,yay
2060,ROE,yay
2060,SANTORA,yay
2060,SAYLOR,yay
2060,SIMMONS,yay
2060,STAATS,yay
2060,STEPHENS,yay
2060,TAYLOR,yay
2060,TOEPEL,yay
2060,TOOHIL,yay
2060,WATSON,yay
2060,WHITE,yay
2060,BARBIN,yay
2060,BIZZARRO,yay
2060,BOYLE,yay
2060,BRADFORD,yay
2060,BRIGGS,yay
2060,"BROWN, V.",yay
2060,BULLOCK,yay
2060,CALTAGIRONE,yay
2060,CARROLL,yay
2060,CEPHAS,yay
2060,COMITTA,yay
2060,CONKLIN,yay
2060,"COSTA, D.",yay
2060,"COSTA, P.",yay
2060,CRUZ,yay
2060,DALEY,yay
2060,DAVIDSON,yay
2060,"DAVIS, A.",yay
2060,"DAVIS, T.",yay
2060,DAWKINS,yay
2060,DEAN,yay
2060,DEASY,yay
2060,DELISSIO,yay
2060,DELUCA,yay
2060,DERMODY,yay
2060,DONATUCCI,yay
2060,DRISCOLL,yay
2060,EVANS,yay
2060,FITZGERALD,yay
2060,FLYNN,yay
2060,FRANKEL,yay
2060,FREEMAN,yay
2060,GALLOWAY,yay
2060,GOODMAN,yay
2060,HARKINS,yay
2060,"HARRIS, J.",yay
2060,"KELLER, W.",yay
2060,KIM,yay
2060,KINSEY,yay
2060,KIRKLAND,yay
2060,KORTZ,yay
2060,KRUEGER,yay
2060,KULIK,yay
2060,LONGIETTI,yay
2060,MADDEN,yay
2060,MATZIE,yay
2060,MCCARTER,yay
2060,MCCLINTON,yay
2060,MCNEILL,yay
2060,"MILLER, D.",yay
2060,MULLERY,yay
2060,NEILSON,yay
2060,PASHINSKI,yay
2060,RABB,yay
2060,RAVENSTAHL,yay
2060,ROEBUCK,yay
2060,ROZZI,yay
2060,SAMUELSON,yay
2060,SCHLOSSBERG,yay
2060,SCHWEYER,yay
2060,SIMS,yay
2060,SOLOMON,yay
2060,STURLA,yay
2060,TAI,yay
2060,VAZQUEZ,yay
2060,VITALI,yay
2060,WARREN,yay
2060,WHEATLEY,yay
2060,YOUNGBLOOD,yay
2060,TURZAI,yay
2060,BERNSTINE,nay
2060,BLOOM,nay
2060,CAUSER,nay
2060,CHRISTIANA,nay
2060,COOK,nay
2060,DIAMOND,nay
2060,DOWLING,nay
2060,DUNBAR,nay
2060,DUSH,nay
2060,ELLIS,nay
2060,EVERETT,nay
2060,FRITZ,nay
2060,GODSHALL,nay
2060,GROVE,nay
2060,HEFFLEY,nay
2060,HILL,nay
2060,IRVIN,nay
2060,JAMES,nay
2060,KAUFFMAN,nay
2060,KEEFER,nay
2060,"KELLER, M.K.",nay
2060,KNOWLES,nay
2060,MALONEY,nay
2060,MARSHALL,nay
2060,MCGINNIS,nay
2060,METCALFE,nay
2060,MUSTIO,nay
2060,NELSON,nay
2060,NESBIT,nay
2060,O'NEAL,nay
2060,OBERLANDER,nay
2060,ORTITAY,nay
2060,OWLETT,nay
2060,PEIFER,nay
2060,PICKETT,nay
2060,PYLE,nay
2060,RAPP,nay
2060,REESE,nay
2060,ROAE,nay
2060,ROTHMAN,nay
2060,RYAN,nay
2060,SACCONE,nay
2060,SANKEY,nay
2060,SCHEMEL,nay
2060,SONNEY,nay
2060,TALLMAN,nay
2060,TOBASH,nay
2060,TOPPER,nay
2060,WALSH,nay
2060,WARD,nay
2060,WARNER,nay
2060,WENTLING,nay
2060,WHEELAND,nay
2060,ZIMMERMAN,nay
2060,BURNS,nay
2060,HAGGERTY,nay
2060,HANNA,nay
2060,MARKOSEK,nay
2060,PETRARCA,nay
2060,READSHAW,nay
2060,SAINATO,nay
2060,SNYDER,nay
178,BAKER,yay
178,BENNINGHOFF,yay
178,BERNSTINE,yay
178,BLOOM,yay
178,"BROWN, R.",yay
178,CAUSER,yay
178,CHRISTIANA,yay
178,COOK,yay
178,CORBIN,yay
178,CORR,yay
178,COX,yay
178,CULVER,yay
178,CUTLER,yay
178,DAY,yay
178,DELOZIER,yay
178,DIAMOND,yay
178,DOWLING,yay
178,DUNBAR,yay
178,DUSH,yay
178,ELLIS,yay
178,EMRICK,yay
178,ENGLISH,yay
178,EVANKOVICH,yay
178,EVERETT,yay
178,FEE,yay
178,FRITZ,yay
178,GILLEN,yay
178,GILLESPIE,yay
178,GREINER,yay
178,GROVE,yay
178,HAHN,yay
178,HARPER,yay
178,"HARRIS, A.",yay
178,HEFFLEY,yay
